symbol,date,price,setup,score,atr_pct,pct_of_100d_high,entry,stop,risk_per_share,atr14,pivot,shares_for_plan,position_value,capital,risk_pct,ema20,ema50,sma200,prior_52w_high,vol_x_avg20,neckline,left_shoulder,head,right_shoulder
DD,2025-10-08,78.37000274658203,vcp,70.955,0.024644998968149423,0.9676503866366992,82.05,74.26,7.79,1.93,81.97,16,1312.83,25000.0,0.005,,,,,,,,,
CFG,2025-10-08,52.0099983215332,vcp,70.831,0.02266735162944222,0.9631481170654297,55.3,51.99,3.31,1.18,55.24,37,2045.92,25000.0,0.005,,,,,,,,,
BK,2025-10-08,106.01000213623047,vcp,70.654,0.017788090242615604,0.9659225707173619,110.86,105.37,5.49,1.89,110.75,22,2438.94,25000.0,0.005,,,,,,,,,
QCOM,2025-10-08,167.77000427246094,vcp,70.653,0.023143923214273533,0.9666954844271993,172.15,163.89,8.26,3.88,171.98,15,2582.28,25000.0,0.005,,,,,,,,,
O,2025-10-08,59.0099983215332,vcp,69.977,0.010724580188661428,0.9707188260045003,60.88,58.96,1.92,0.63,60.82,65,3957.25,25000.0,0.005,,,,,,,,,
BAC,2025-10-08,49.84000015258789,vcp,69.578,0.018315756929126722,0.9507821803418935,52.67,49.78,2.89,0.91,52.62,43,2264.92,25000.0,0.005,,,,,,,,,
MA,2025-10-08,576.4400024414062,vcp,69.53,0.014815048765668993,0.9624014646969575,586.67,562.51,24.16,8.54,586.08,5,2933.33,25000.0,0.005,,,,,,,,,
GEHC,2025-10-08,75.12999725341797,vcp,69.176,0.023839628325119426,0.9545165560577306,78.03,69.79,8.24,1.79,77.95,15,1170.42,25000.0,0.005,,,,,,,,,
GS,2025-10-08,776.510009765625,vcp,68.086,0.022558810497350108,0.9630295697888999,810.43,772.44,37.99,17.52,809.62,3,2431.29,25000.0,0.005,,,,,,,,,
JPM,2025-10-08,304.0299987792969,vcp,67.862,0.017916460206990004,0.9619376103517603,318.33,303.55,14.78,5.45,318.01,8,2546.62,25000.0,0.005,,,,,,,,,
CVX,2025-10-08,153.74000549316406,vcp,67.246,0.017455275371876078,0.9500092921809621,161.46,151.28,10.18,2.68,161.3,12,1937.54,25000.0,0.005,,,,,,,,,
CB,2025-10-08,287.1000061035156,vcp,66.608,0.013305486113484843,0.95722339584046,290.79,276.85,13.94,3.82,290.5,8,2326.32,25000.0,0.005,,,,,,,,,
